old_img_id,age,sex,race,y_mediapipe,y_dlib_hog,y_mtcnn
0,6,0,0,1,1,1
1,4,1,1,1,1,1
2,1,1,2,1,1,1
3,3,1,1,1,0,1
4,3,1,1,1,1,1
5,3,0,3,1,0,0
6,5,0,4,1,1,1
7,4,1,1,1,0,1
8,2,0,3,1,1,1
9,4,0,4,1,0,1
10,6,0,0,1,1,1
11,3,0,0,1,1,1
12,3,0,5,1,0,1
13,2,0,1,1,1,1
14,7,1,1,1,1,1
15,4,1,3,1,1,1
16,3,1,6,1,0,1
17,5,0,6,1,1,1
18,0,1,2,1,1,1
19,6,0,6,1,1,1
20,3,1,1,1,1,1
21,4,1,4,1,0,1
23,4,1,3,1,1,1
25,4,1,2,1,0,1
26,6,1,3,1,1,1
27,2,1,3,1,0,1
28,3,0,1,1,0,1
30,5,1,2,1,1,1
31,2,1,0,1,0,1
33,5,0,4,1,1,1
34,3,0,0,1,1,1
35,7,1,4,1,0,1
36,3,1,5,1,1,1
37,4,0,5,1,1,1
38,6,0,4,1,1,1
39,3,1,5,1,1,1
40,3,0,3,1,1,1
41,2,1,2,1,1,1
42,2,1,6,1,1,1
43,5,0,5,1,1,1
44,2,0,1,1,1,1
45,2,1,1,1,1,1
46,7,0,0,1,0,0
47,1,1,4,1,1,1
48,2,1,6,1,1,1
49,6,1,2,1,1,1
50,1,1,0,1,1,1
51,7,0,5,1,1,1
52,6,0,6,1,1,1
53,4,1,0,1,1,1
54,4,0,6,1,0,1
55,4,0,3,1,1,1
56,3,0,2,1,1,1
57,5,1,5,1,1,1
58,2,1,5,1,1,1
59,2,1,5,1,1,1
60,1,0,0,1,1,1
61,2,0,1,1,1,1
62,5,0,1,1,1,1
63,3,0,6,1,1,1
64,4,0,0,1,1,1
65,4,0,5,1,1,1
66,2,1,5,1,1,1
67,7,0,3,1,1,1
68,6,0,6,1,1,1
69,4,0,1,1,0,1
70,7,1,1,1,0,1
71,4,0,5,1,1,1
72,4,1,5,1,1,1
73,3,1,6,1,1,1
75,3,0,6,1,0,1
76,6,1,2,1,1,1
77,3,1,4,1,1,1
78,5,0,5,1,1,1
79,4,0,3,1,0,1
80,4,1,2,1,0,1
81,4,0,1,1,1,1
82,5,0,3,1,1,1
84,3,1,3,1,1,1
85,3,1,2,1,0,1
86,3,0,2,1,0,1
88,5,0,1,1,0,1
89,6,0,1,1,1,1
90,4,0,5,1,1,1
91,0,1,0,1,1,1
92,4,1,3,1,1,1
93,1,1,5,1,0,1
94,3,0,2,1,1,1
95,4,1,3,1,1,1
97,3,1,0,1,1,1
98,4,0,3,1,1,1
99,3,1,0,1,1,1
100,4,0,1,1,1,1
101,4,0,3,1,1,1
102,5,0,1,1,0,1
103,4,0,1,1,0,1
105,5,0,2,1,1,1
106,4,1,3,1,1,1
107,8,1,1,1,1,1
108,3,1,4,1,1,1
109,4,0,3,1,1,1
110,5,1,1,1,1,1
111,5,1,5,1,1,1
112,4,0,4,1,1,1
113,4,1,3,1,1,1
114,6,0,2,1,0,1
115,3,1,5,1,1,1
116,4,0,3,1,0,1
117,4,0,3,0,0,1
118,5,0,1,1,1,1
119,7,0,4,1,1,1
120,3,1,3,1,1,1
122,4,1,2,1,1,1
123,0,0,1,1,0,1
124,5,0,3,1,1,1
125,4,1,0,1,1,1
126,1,1,3,1,0,1
127,3,1,1,1,1,1
128,2,1,2,1,0,1
129,6,0,3,1,1,1
130,4,1,4,0,0,1
131,1,1,3,1,1,1
132,1,0,5,1,0,1
133,4,0,3,1,0,1
134,5,1,3,1,1,1
135,6,1,1,1,1,1
136,5,0,5,1,0,1
137,6,0,2,1,1,0
138,4,1,0,1,1,1
139,3,1,0,1,1,1
140,2,0,5,1,1,1
141,4,0,0,1,1,1
142,4,0,1,1,0,1
143,8,0,0,1,1,1
144,4,0,3,1,1,1
145,5,0,6,1,0,1
146,5,0,6,1,1,1
147,6,0,6,1,1,1
148,6,0,1,1,0,1
149,3,0,5,1,0,1
150,3,1,2,1,1,1
151,3,0,4,1,1,1
152,3,1,6,1,0,1
153,4,0,3,1,1,1
155,3,0,5,1,1,1
156,3,0,3,1,1,1
157,1,0,2,0,0,1
159,5,1,2,1,0,1
160,2,1,5,1,0,1
161,4,1,3,1,1,1
162,2,0,6,1,1,1
163,3,1,0,1,0,1
164,6,1,6,1,0,1
165,1,0,0,1,1,1
166,4,1,5,1,1,1
167,3,1,6,1,1,1
168,3,0,0,1,0,1
169,3,1,6,1,1,1
170,4,1,3,1,1,1
171,2,0,6,1,1,1
172,3,1,5,0,0,1
173,7,0,1,1,0,1
174,3,1,1,1,1,1
175,7,1,3,1,1,1
176,4,1,3,1,1,1
177,4,0,3,1,1,1
179,4,0,4,1,1,1
180,3,1,5,1,1,1
181,5,0,2,1,0,1
182,3,1,2,1,1,1
183,3,0,3,1,1,1
184,1,0,2,1,1,1
185,6,1,6,1,0,1
186,4,1,4,1,0,1
187,1,1,1,1,1,1
188,1,1,0,1,1,1
189,2,0,0,1,1,1
190,3,1,0,1,1,1
191,2,1,3,1,1,1
192,7,0,3,1,1,1
194,5,0,2,1,0,1
195,3,1,4,1,1,1
196,5,1,3,1,0,1
197,2,1,1,1,1,1
198,3,1,5,1,1,1
199,2,0,1,1,1,1
200,5,1,5,1,1,1
201,5,0,2,0,0,1
202,3,0,3,1,1,1
203,3,1,0,1,1,1
204,1,1,6,1,1,1
206,3,1,4,1,1,1
207,4,1,1,1,1,1
208,4,1,2,1,1,1
209,1,0,2,1,1,1
210,3,0,6,1,1,1
211,1,0,0,1,0,1
212,6,0,3,1,0,1
213,6,0,3,1,1,0
214,4,1,2,1,1,1
215,6,0,2,1,1,1
216,5,0,1,1,1,1
217,4,1,4,1,1,1
218,4,1,6,1,1,1
219,1,0,5,1,1,1
220,1,1,3,1,1,1
221,4,0,4,1,1,1
222,6,0,5,1,1,1
223,5,1,5,1,1,1
224,5,0,4,1,1,1
225,3,1,6,1,0,1
226,4,0,4,1,1,1
227,3,1,1,1,1,1
228,4,0,5,1,1,1
229,6,0,3,1,1,1
230,4,0,6,1,1,1
232,3,0,4,1,1,1
233,5,0,3,1,0,1
234,3,1,0,1,1,1
235,3,1,6,1,1,1
236,4,0,1,1,1,1
237,4,0,6,1,1,1
238,4,1,3,1,1,1
239,3,1,1,1,1,1
241,3,1,1,1,1,1
242,5,1,6,1,1,1
243,5,1,2,1,1,1
244,3,1,6,1,1,1
246,3,1,1,1,1,1
247,1,0,2,1,1,1
248,2,0,1,1,1,1
249,4,1,0,1,1,1
250,1,0,2,1,1,1
251,3,1,0,1,1,1
252,1,0,6,1,0,1
253,1,0,5,1,0,1
254,8,1,6,1,1,1
255,1,0,0,1,1,1
256,2,1,5,1,1,1
257,1,0,6,1,1,1
258,2,1,5,1,0,1
259,3,0,2,1,0,1
260,4,0,5,1,1,1
261,1,0,2,1,1,1
262,5,1,2,1,0,1
263,2,0,6,1,0,1
264,4,1,3,1,1,1
265,2,0,5,1,1,1
266,5,0,2,1,0,1
268,3,1,6,1,0,1
269,3,1,5,1,1,1
270,3,1,6,1,1,1
271,5,0,3,1,1,1
274,2,0,2,1,0,1
275,1,0,2,1,1,1
276,1,0,1,1,1,1
277,1,1,3,1,1,1
278,3,1,5,1,1,1
279,4,0,3,1,1,1
280,4,0,1,1,1,1
281,5,1,2,1,1,1
282,5,0,0,1,1,1
283,2,1,5,1,1,1
284,4,0,3,1,0,1
285,3,0,6,1,1,1
286,1,0,2,1,1,1
288,4,1,2,1,1,1
289,2,0,0,1,1,1
290,6,0,5,1,1,0
291,3,1,3,1,1,1
292,2,0,2,1,1,1
293,1,1,6,1,1,1
294,4,0,5,1,1,1
295,3,1,5,1,0,1
296,4,1,6,1,1,1
297,3,0,3,1,1,1
298,5,0,3,1,1,1
299,1,1,2,1,1,1
300,4,0,4,1,1,1
301,1,1,2,1,0,1
302,3,1,3,1,1,1
303,1,1,4,1,1,1
304,4,1,1,1,1,1
305,6,0,5,1,1,1
306,4,1,0,1,1,1
307,3,0,4,1,1,1
308,5,1,3,1,1,1
309,4,0,4,1,0,1
310,3,1,0,1,1,1
311,3,1,4,1,1,1
312,3,0,2,1,0,1
313,5,0,2,0,1,1
314,4,0,1,1,1,1
315,4,0,5,1,1,1
317,5,0,3,1,1,1
318,2,1,1,1,1,1
319,3,1,0,1,1,1
320,1,1,1,1,0,1
321,3,1,3,1,1,1
322,7,0,3,1,1,1
323,5,1,5,1,1,1
325,5,0,0,1,1,1
327,6,0,1,1,1,1
328,4,0,0,1,1,1
329,3,1,0,1,1,1
330,3,1,3,1,1,1
331,5,1,5,1,1,1
332,3,0,3,1,1,1
333,5,0,3,1,1,1
334,3,1,0,1,1,1
335,4,1,5,1,1,1
336,6,0,3,1,1,1
337,1,0,1,1,1,1
338,3,1,3,1,1,1
339,1,0,3,1,1,1
340,3,1,6,1,1,1
341,5,1,1,1,1,1
343,1,1,4,1,1,1
344,3,0,5,1,1,1
345,4,1,3,1,1,1
346,3,0,6,1,1,1
