old_img_id,age,sex,race,y_mediapipe,y_dlib_hog,y_mtcnn
13336,3,0,0,1,0,1
13337,2,0,3,1,0,1
13338,2,0,2,1,0,1
13339,3,1,0,1,1,1
13340,4,0,5,1,1,1
13341,3,0,6,1,1,1
13342,5,0,1,1,1,1
13343,4,1,5,1,1,1
13344,6,1,0,1,0,1
13345,4,0,3,1,1,1
13346,1,1,2,1,1,1
13347,3,1,0,1,1,1
13348,3,0,6,1,0,1
13349,4,0,2,1,1,1
13350,3,1,3,1,0,1
13351,3,0,6,1,1,1
13352,5,1,1,1,1,1
13353,3,1,3,1,1,1
13354,3,0,5,1,0,1
13355,5,0,3,1,0,1
13356,1,0,0,0,0,1
13357,1,1,0,0,0,0
13359,2,1,2,1,1,1
13360,5,0,6,1,1,1
13361,5,1,6,1,1,1
13362,3,1,3,1,1,1
13364,2,0,0,1,0,1
13365,1,1,0,1,1,1
13366,6,0,2,1,0,1
13367,3,1,0,1,1,1
13368,3,1,0,1,1,1
13369,3,0,3,1,1,1
13370,3,0,3,1,1,1
13372,3,0,6,1,1,1
13373,2,1,6,1,1,1
13374,4,1,5,1,1,1
13375,3,0,1,1,0,1
13376,3,1,3,1,1,1
13377,2,0,2,1,0,1
13378,3,1,6,1,1,1
13379,4,0,5,0,0,0
13380,5,0,3,1,1,1
13381,3,1,1,1,1,1
13383,3,1,4,1,1,1
13384,3,1,4,1,0,1
13385,3,1,2,1,1,1
13386,3,0,3,1,1,1
13387,3,0,3,1,1,1
13388,3,1,1,1,0,1
13389,4,1,0,1,1,1
13390,3,1,4,1,1,1
13391,3,0,6,1,1,1
13392,2,1,5,1,1,1
13393,3,1,6,1,1,1
13394,3,0,3,1,1,1
13396,4,1,1,1,1,1
13398,3,1,2,1,1,1
13399,1,1,5,1,1,1
13400,5,1,4,1,1,1
13401,1,1,5,1,1,1
13402,0,0,2,1,0,1
13403,3,0,0,1,1,1
13404,2,1,1,1,1,1
13405,7,0,4,1,1,1
13406,3,0,5,1,1,1
13407,3,0,4,1,1,1
13408,4,0,6,1,1,1
13409,3,1,2,1,1,1
13410,2,0,1,1,1,1
13411,3,1,5,1,1,1
13412,4,1,4,1,1,1
13413,5,1,5,1,1,1
13414,3,1,6,1,0,1
13415,1,0,2,1,0,1
13416,3,1,5,1,0,1
13417,4,1,5,0,0,1
13418,2,0,6,1,1,1
13420,4,0,5,1,1,1
13421,2,0,4,1,1,1
13422,4,0,1,1,1,1
13423,3,1,5,1,1,1
13424,4,1,0,1,0,1
13425,4,0,0,1,1,1
13426,2,0,2,1,1,1
13427,3,1,3,1,1,1
13428,3,0,3,1,0,1
13429,1,1,0,1,0,1
13430,5,1,2,1,0,1
13431,3,1,0,1,0,1
13432,3,1,4,1,0,1
13433,3,0,1,1,1,1
13435,5,0,1,0,0,1
13436,6,0,1,1,1,1
13437,6,0,6,1,0,1
13438,6,0,3,1,1,1
13439,4,1,2,1,1,1
